건축물_유형,근저당권_개수,채권최고액,근저당권_설정일_최근,신탁_등기여부,압류_가압류_개수,선순위_채권_존재여부,전입_가능여부,우선변제권_여부,주소,전세가,매매가,전세가율,과거_매매가,과거_전세가,과거_전세가율,위험도
다세대주택,0,0,,False,1,True,False,False,경기도 안산시 상록구 본오동 713-7 제2층 제202호,,,,153000000.0,153000000.0,100.00%,1
다세대주택,1,108000000,2023-05-26,False,6,True,False,False,경기도 안산시 상록구 사동 1398-8 래미안빌 제5층 제501호,,,,130000000.0,,,1
아파트,0,0,,False,9,True,False,False,경기도 안산시 상록구 사동 1405-14 제3층 제301호,,,,208000000.0,208000000.0,100.00%,1
다세대주택,1,198000000,2017-02-28,False,13,True,False,False,경기도 안산시 상록구 건건동 594외 1필지 블레스빌 제103동 제3층 제301호,,,,,,,1
다세대주택,2,394000000,2019-04-30,False,15,True,False,False,경기도 안산시 상록구 건건동 594외 1필지 블레스빌 제103동 제5층 제501호,,,,,,,1
아파트,0,0,,False,1,True,False,False,경기도 안산시 상록구 사동 1425-17 타워팰리스 제5층 제502호,,,,105000000.0,130000000.0,123.81%,1
아파트,0,0,,False,18,True,False,False,경기도 안산시 상록구 건건동 534-6 제씨동 제4층 제402호,,,,,330000000.0,,1
아파트,1,30000000,2022-02-18,False,20,True,False,False,경기도 안산시 상록구 건건동 534-6 제비동 제5층 제501호,,,,,330000000.0,,1
기타,0,0,,False,9,True,False,False,경기도 안산시 상록구 본오동 961-3 동산하이빌 제5층 제502호,,,,175000000.0,175000000.0,100.00%,1
다세대주택,1,180000000,2021-11-23,False,16,True,False,False,경기도 안산시 상록구 건건동 534-6 편백나무타운하우스 제에이동 제5층 제502호,,,,,,,1
아파트,1,260000000,2017-12-27,False,24,True,False,False,경기도 용인시 기흥구 구갈동 396 한양아파트 제108동 제9층 제902호,,,,315000000.0,,,1
아파트,2,204000000,2022-11-24,False,8,True,False,False,경기도 용인시 기흥구 구갈동 574 강남마을힐스파크 제302동 제4층 제403호,,,,200000000.0,,,1
아파트,2,374000000,2021-03-26,False,17,True,False,False,경기도 용인시 기흥구 상하동 675 지석마을 그대가 크레던스 제105동 제4층 제401호,,,,346000000.0,,,1
아파트,0,0,,False,11,True,False,False,경기도 용인시 기흥구 신갈동 8-12 제3층 제301호,,,,156000000.0,160000000.0,102.56%,1
아파트,2,300000000,2021-02-19,False,20,True,False,False,경기도 용인시 기흥구 구갈동 660 힐스테이트기흥 제205동 제14층 제1405호,,,,441000000.0,,,1
아파트,3,489000000,2022-06-27,False,5,True,False,False,경기도 용인시 기흥구 신갈동 734 용인기흥우방아이유쉘 제104동 제3층 제302호,,,,,,,1
아파트,2,696000000,2022-01-11,False,7,True,False,False,경기도 용인시 기흥구 영덕동 1267외 1필지 용인기흥효성해링턴플레이스 제111동 제25층 제2502호,,,,,,,1
오피스텔,0,0,,False,5,True,False,False,경기도 용인시 기흥구 신갈동 34-10외 1필지 제4층 제402호,,,,208000000.0,208000000.0,100.00%,1
기타,1,174000000,2020-01-07,False,1,True,False,False,경기도 용인시 기흥구 영덕동 1315 힉스유타워 제에이동 제지하1층 제비103-1호,,,,,,,1
기타,1,780000000,2020-07-02,False,6,True,False,False,경기도 용인시 기흥구 영덕동 1315 힉스유타워 제에이동 제22층 제2201-1호,,,,790863000.0,,,1
아파트,0,0,,False,7,True,False,False,경기도 용인시 기흥구 영덕동 1246-4외 1필지 더헤이븐 제106동 제3층 제302호,,,,179000000.0,180000000.0,100.56%,1
아파트,4,8039000000,2024-05-16,False,2,True,False,False,경기도 오산시 궐동 696-4,,,,,,,1
아파트,2,224000000,2023-12-13,False,26,True,False,False,경기도 오산시 부산동 779-1 오산운암3단지주공아파트 제301동 제6층 제604호,,,,129000000.0,,,1
아파트,0,0,,False,22,True,False,False,,,,,,,,1
아파트,0,0,,False,2,True,False,False,경기도 오산시 원동 551외 1필지 태영아파트 제103동 제3층 제302호,,,,115000000.0,,,1
아파트,1,60000000,2008-07-17,False,1,True,False,False,경기도 오산시 오산동 863-14 제4층 제406호,,,,110000000.0,,,1
아파트,0,0,,False,2,True,False,False,경기도 오산시 청학동 46-5 제4층 제402호,,,,20000000.0,,,1
아파트,0,0,,False,3,True,False,False,경기도 오산시 원동 556-9 제2층 제202호,,,,,,,1
아파트,3,136500000,2022-06-23,False,19,True,False,False,경기도 오산시 고현동 270 오산고현아이파크 제111동 제9층 제902호,,,,,,,1
아파트,3,3647240000,2021-01-22,False,8,True,False,False,경기도 오산시 오산동 881-8 제4층 제416호,,,,,50000000.0,,1
기타,1,780000000,2017-03-02,False,2,True,False,False,경기도 오산시 오산동 835-1 골든스퀘어 제5층 제501호,,,,,150000000.0,,1
아파트,2,1300000000,2023-12-29,False,3,True,False,False,경기도 오산시 궐동 686-24 제2층 제201호,,,,,105000000.0,,1
아파트,2,1300000000,2023-12-29,False,3,True,False,False,경기도 오산시 궐동 686-24 제2층 제202호,,,,,,,1
아파트,2,1300000000,2023-12-29,False,3,True,False,False,경기도 오산시 궐동 686-24 제3층 제301호,,,,,66150000.0,,1
아파트,2,1300000000,2023-12-29,False,3,True,False,False,경기도 오산시 궐동 686-24 제3층 제302호,,,,,99220000.0,,1
아파트,2,1300000000,2023-12-29,False,3,True,False,False,경기도 오산시 궐동 686-24 제4층 제401호,,,,,,,1
아파트,2,1300000000,2023-12-29,False,3,True,False,False,경기도 오산시 궐동 686-24 제4층 제402호,,,,,89250000.0,,1
아파트,2,1300000000,2023-12-29,False,3,True,False,False,경기도 오산시 궐동 686-24 제5층 제501호,,,,,84000000.0,,1
아파트,2,1300000000,2023-12-29,False,3,True,False,False,경기도 오산시 궐동 686-24 제5층 제502호,,,,,89250000.0,,1
아파트,2,1300000000,2023-12-29,False,3,True,False,False,경기도 오산시 궐동 686-24 제6층 제601호,,,,,,,1
아파트,2,1300000000,2023-12-29,False,3,True,False,False,경기도 오산시 궐동 686-24 제7층 제701호,,,,,,,1
아파트,2,1300000000,2023-12-29,False,3,True,False,False,경기도 오산시 궐동 686-24 제8층 제801호,,,,,99000000.0,,1
아파트,2,1300000000,2023-12-29,False,3,True,False,False,경기도 오산시 궐동 686-24 제9층 제901호,,,,,,,1
기타,1,828000000,2023-08-28,False,5,True,False,False,경기도 오산시 수청동 611-2 제이클래스오산대역 제1층 제130호,,,,594662400.0,,,1
기타,1,828000000,2023-08-28,False,1,True,False,False,경기도 오산시 수청동 611-2 제이클래스오산대역 제1층 제131호,,,,566040000.0,,,1
오피스텔,1,99600000,2020-02-05,False,3,True,False,False,경기도 오산시 원동 335-10 르마레시티 제9층 제935호,,,,127938000.0,,,1
기타,1,660000000,2023-08-28,False,3,True,False,False,경기도 오산시 수청동 611-2 제이클래스오산대역 제1층 제106호,,,,742260000.0,,,1
아파트,0,0,,False,9,True,False,False,경기도 오산시 오산동 535-16 탑캐슬 제101동 제2층 제202호,,,,250000000.0,250000000.0,100.00%,1
아파트,0,0,,False,5,True,False,False,경기도 오산시 오산동 535-16 탑캐슬 제102동 제3층 제301호,,,,202000000.0,202000000.0,100.00%,1
아파트,0,0,,False,7,True,False,False,경기도 오산시 오산동 838-1외 1필지 씨앤엠파크 제3층 제301호,,,,175000000.0,,,1
아파트,0,0,,False,9,True,False,False,경기도 오산시 오산동 838-1외 1필지 씨앤엠파크 제5층 제501호,,,,185000000.0,185000000.0,100.00%,1
기타,2,534500000,2024-05-29,False,3,True,False,False,경기도 오산시 고현동 12외 1필지 오산더테라스퀘어 제가동 제지1층 제엘109호,,,,540420000.0,,,1
아파트,1,299000000,2023-05-11,False,6,True,False,False,경기도 오산시 고현동 12외 1필지 오산더테라스퀘어 제나동 제1층 제나-115호,,,,360125000.0,,,1
아파트,1,364000000,2023-05-18,False,4,True,False,False,경기도 오산시 고현동 12외 1필지 오산더테라스퀘어 제나동 제1층 제나-119호,,,,414094000.0,,,1
아파트,1,208000000,2023-07-28,False,4,True,False,False,경기도 오산시 고현동 12외 1필지 오산더테라스퀘어 제나동 제3층 제나-314호,,,,262136000.0,,,1
아파트,1,50050000,2019-10-01,False,44,True,False,False,경기도 안산시 상록구 본오동 835-5 제2층 제204호,,,,80000000.0,,,1
아파트,1,25000000,2010-11-18,False,8,True,False,False,경기도 안산시 상록구 팔곡이동 457-8 제지하층 제1호,,,,,,,1
빌라,0,0,,False,8,True,False,False,경기도 안산시 상록구 사동 1404-10 삼원빌라 제2층 제201호,,,,141000000.0,167000000.0,118.44%,1
아파트,0,0,,False,3,True,False,False,경기도 안산시 상록구 본오동 740-10 제2층 제202호,,,,190000000.0,190000000.0,100.00%,1
아파트,1,91000000,2012-11-23,False,20,True,False,False,경기도 안산시 상록구 사동 1380-5 제2층 제202호,,,,,,,1
아파트,1,117000000,2012-12-27,False,3,True,False,False,경기도 안산시 상록구 사동 1402-4 제1층 제101호,,,,140000000.0,,,1
아파트,1,10000000,2022-12-27,False,16,True,False,False,경기도 안산시 상록구 본오동 732-5 제1층 제102호,,,,145000000.0,145000000.0,100.00%,1
아파트,0,0,,False,1,True,False,False,경기도 평택시 진위면 갈곶리 239-27외 4필지 한일아파트 제103동 제9층 제909호,,,,157000000.0,,,1
기타,1,618000000,2021-12-03,False,5,True,False,False,경기도 평택시 진위면 갈곶리 728-2 평택진위스마트큐브지식산업센터 제5층 제515호,,,,807846000.0,,,1
기타,1,924000000,2020-09-21,False,7,True,False,False,경기도 평택시 진위면 갈곶리 728-2 평택진위스마트큐브지식산업센터 제5층 제517호,,,,367305000.0,,,1
아파트,0,0,,False,1,True,False,False,경기도 평택시 진위면 갈곶리 725-1 더스테이 제8층 제804호,,,,,90000000.0,,1
아파트,0,0,,False,7,True,False,False,경기도 수원시 권선구 탑동 823-9 주영홈타운 제105동 제2층 제201호,,,,150000000.0,150000000.0,100.00%,1
아파트,2,433200000,2021-10-21,False,9,True,False,False,경기도 수원시 영통구 원천동 296-6외 1필지 수원영통아크로파크 제12(104동)층 제1203호,,,,350000000.0,40000000.0,11.43%,1
아파트,0,0,,False,36,True,False,False,경기도 수원시 팔달구 인계동 1034-3외 1필지 드라마시티 제7층 제713호,,,,90000000.0,89000000.0,98.89%,1
아파트,1,120000000,2019-01-15,False,7,True,False,False,경기도 수원시 팔달구 인계동 384 래미안노블클래스 제102동 제13층 제1303호,,,,459000000.0,363000000.0,79.08%,1
아파트,0,0,,False,6,True,False,False,경기도 수원시 권선구 탑동 869-11 영창탑스빌 제3층 제301호,,,,168000000.0,180000000.0,107.14%,1
다세대주택,0,0,,False,8,True,False,False,경기도 수원시 팔달구 고등동 13-3 영창탑스빌 제2층 제201호,,,,230000000.0,230000000.0,100.00%,1
아파트,4,366800000,2023-01-18,False,3,True,False,False,경기도 수원시 권선구 입북동 815 서수원레이크푸르지오2단지 제204동 제9층 제901호,,,,310000000.0,,,1
아파트,0,0,,False,18,True,False,False,경기도 수원시 권선구 입북동 300외 1필지 편백나무 타운하우스 제에이동 제2층 제202호,,,,,170000000.0,,1
아파트,0,0,,False,7,True,False,False,경기도 수원시 권선구 입북동 300외 1필지 편백나무 타운하우스 제에이동 제4층 제403호,,,,,130000000.0,,1
아파트,0,0,,False,6,True,False,False,경기도 수원시 권선구 입북동 300-2 편백나무타운하우스 제비동 제2층 제201호,,,,,150000000.0,,1
아파트,1,40000000,2022-04-13,False,16,True,False,False,경기도 수원시 팔달구 인계동 1036-9 아임홈 제6층 제603호,,,,70000000.0,85000000.0,121.43%,1
빌라,0,0,,False,3,True,False,False,경기도 수원시 팔달구 화서동 82-15 드림캐슬 제4층 제403호,,,,202000000.0,202000000.0,100.00%,1
아파트,1,97500000,2015-12-14,False,20,True,False,False,경기도 수원시 팔달구 화서동 103-12 제6층 제602호,,,,,,,1
빌라,1,150000000,2018-04-12,False,5,True,False,False,경기도 수원시 권선구 서둔동 151-13 빌리브 제2층 제202호,,,,189000000.0,,,1
아파트,1,1430000000,2024-02-01,False,3,True,False,False,경기도 수원시 팔달구 인계동 951-7 제4층 제404호,,,,,145000000.0,,1
아파트,1,840000000,2017-06-29,False,1,True,False,False,경기도 수원시 영통구 매탄동 407-24,,,,,,,1
아파트,0,0,,False,11,True,False,False,경기도 수원시 팔달구 인계동 1019-6 엘리시아 제11층 제1101호,,,,144000000.0,130000000.0,90.28%,1
기타,1,840000000,2018-05-15,False,7,True,False,False,경기도 수원시 팔달구 화서동 70-5 제2층 제201호,,,,130000000.0,120000000.0,92.31%,1
기타,1,840000000,2018-05-15,False,5,True,False,False,경기도 수원시 팔달구 화서동 70-5 제2층 제202호,,,,130000000.0,130000000.0,100.00%,1
기타,1,840000000,2018-05-15,False,5,True,False,False,경기도 수원시 팔달구 화서동 70-5 제2층 제203호,,,,130000000.0,,,1
기타,1,840000000,2018-05-15,False,5,True,False,False,경기도 수원시 팔달구 화서동 70-5 제3층 제301호,,,,130000000.0,105000000.0,80.77%,1
기타,1,840000000,2018-05-15,False,5,True,False,False,경기도 수원시 팔달구 화서동 70-5 제3층 제302호,,,,130000000.0,,,1
기타,1,840000000,2018-05-15,False,5,True,False,False,경기도 수원시 팔달구 화서동 70-5 제3층 제303호,,,,130000000.0,,,1
기타,1,840000000,2018-05-15,False,5,True,False,False,경기도 수원시 팔달구 화서동 70-5 제4층 제402호,,,,130000000.0,125000000.0,96.15%,1
기타,1,840000000,2018-05-15,False,5,True,False,False,경기도 수원시 팔달구 화서동 70-5 제4층 제403호,,,,130000000.0,130000000.0,100.00%,1
기타,1,840000000,2018-05-15,False,5,True,False,False,경기도 수원시 팔달구 화서동 70-5 제5층 제501호,,,,130000000.0,130000000.0,100.00%,1
기타,1,840000000,2018-05-15,False,5,True,False,False,경기도 수원시 팔달구 화서동 70-5 제5층 제502호,,,,130000000.0,125000000.0,96.15%,1
기타,1,840000000,2018-05-15,False,5,True,False,False,경기도 수원시 팔달구 화서동 70-5 제5층 제503호,,,,120000000.0,120000000.0,100.00%,1
아파트,0,0,,False,11,True,False,False,경기도 수원시 권선구 서둔동 95-45 서둔에코빌 제2층 제201호,,,,,220000000.0,,1
기타,0,0,,False,5,True,False,False,경기도 수원시 권선구 서둔동 95-10 서둔에코빌 제2층 제202호,,,,,180000000.0,,1
아파트,1,3924000000,2018-12-26,False,7,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제2층 제201호,,,,,,,1
아파트,1,3924000000,2018-12-26,False,7,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제3층 제301호,,,,,,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제3층 제302호,,,,,168000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제3층 제303호,,,,,,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제3층 제304호,,,,,180000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제4층 제401호,,,,,120000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제4층 제402호,,,,,120000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제4층 제403호,,,,,115000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제4층 제404호,,,,,120000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제4층 제405호,,,,,173000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제4층 제406호,,,,,126000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제4층 제407호,,,,,150000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제5층 제501호,,,,,80000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제5층 제502호,,,,,120000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제5층 제503호,,,,,120000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제5층 제504호,,,,,126000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제5층 제505호,,,,,180000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제5층 제506호,,,,,126000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제5층 제507호,,,,,30000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제6층 제601호,,,,,80000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제6층 제603호,,,,,126000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제6층 제604호,,,,,115500000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제6층 제605호,,,,,190000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제6층 제606호,,,,,126000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제6층 제607호,,,,,120000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제7층 제701호,,,,,126000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제7층 제702호,,,,,,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제7층 제703호,,,,,80000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제7층 제704호,,,,,,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제7층 제705호,,,,,135000000.0,,1
아파트,1,3924000000,2018-12-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 1034-6 제7층 제706호,,,,,130000000.0,,1
아파트,0,0,,False,14,True,False,False,경기도 수원시 팔달구 인계동 373-2 아미힐 제3층 제301호,,,,162800000.0,135000000.0,82.92%,1
기타,0,0,,False,1,True,False,False,경기도 수원시 팔달구 인계동 373-2 아미힐 제5층 제512호,,,,145000000.0,145000000.0,100.00%,1
다세대주택,1,526800000,2019-07-26,False,3,True,False,False,경기도 수원시 팔달구 인계동 984-7 해비치 제2층 제201호,,,,,160000000.0,,1
다세대주택,1,526800000,2019-07-26,False,3,True,False,False,경기도 수원시 팔달구 인계동 984-7 해비치 제2층 제203호,,,,,200000000.0,,1
다세대주택,1,1084800000,2019-07-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 984-7 해비치 제4층 제402호,,,,,,,1
다세대주택,1,1084800000,2019-07-26,False,7,True,False,False,경기도 수원시 팔달구 인계동 984-7 해비치 제5층 제501호,,,,,,,1
다세대주택,1,1084800000,2019-07-26,False,5,True,False,False,경기도 수원시 팔달구 인계동 984-7 해비치 제5층 제502호,,,,,200000000.0,,1
다세대주택,1,526800000,2019-07-26,False,3,True,False,False,경기도 수원시 팔달구 인계동 984-7 해비치 제5층 제503호,,,,,185000000.0,,1
아파트,0,0,,False,9,True,False,False,경기도 수원시 권선구 서둔동 99-47 더서둔빌 제3층 제303호,,,,194000000.0,194000000.0,100.00%,1
기타,0,0,,False,7,True,False,False,경기도 수원시 팔달구 고등동 16-4 테라타워빌에이동 제3층 제303호,,,,248000000.0,248000000.0,100.00%,1
기타,0,0,,False,7,True,False,False,경기도 수원시 팔달구 고등동 16-4 테라타워빌에이동 제5층 제502호,,,,245000000.0,245000000.0,100.00%,1
기타,0,0,,False,7,True,False,False,경기도 수원시 팔달구 고등동 16-4 테라타워빌에이동 제5층 제503호,,,,248000000.0,248000000.0,100.00%,1
기타,1,264000000,2022-09-30,False,6,True,False,False,경기도 수원시 팔달구 인계동 1022-3 센트럴하임 제6층 제608호,,,,,140000000.0,,1
기타,1,264000000,2022-09-30,False,11,True,False,False,경기도 수원시 팔달구 인계동 1022-3 센트럴하임 제8층 제805호,,,,,,,1
기타,1,264000000,2022-09-30,False,4,True,False,False,경기도 수원시 팔달구 인계동 1022-3 센트럴하임 제11층 제1111호,,,,,,,1
기타,1,264000000,2022-09-30,False,6,True,False,False,경기도 수원시 팔달구 인계동 1022-3 센트럴하임 제12층 제1205호,,,,,154000000.0,,1
기타,1,2580000000,2021-06-01,False,5,True,False,False,경기도 수원시 팔달구 인계동 962-8 펜트하우스 제2층 제201호,,,,,,,1
기타,1,2580000000,2021-06-01,False,1,True,False,False,경기도 수원시 팔달구 인계동 962-8 펜트하우스 제4층 제401호,,,,,160000000.0,,1
기타,1,2580000000,2021-06-01,False,3,True,False,False,경기도 수원시 팔달구 인계동 962-8 펜트하우스 제4층 제402호,,,,,120000000.0,,1
기타,1,2580000000,2021-06-01,False,1,True,False,False,경기도 수원시 팔달구 인계동 962-8 펜트하우스 제4층 제403호,,,,,120000000.0,,1
빌라,1,2580000000,2021-06-01,False,1,True,False,False,경기도 수원시 팔달구 인계동 962-8 펜트하우스 제4층 제404호,,,,,150000000.0,,1
기타,1,2580000000,2021-06-01,False,1,True,False,False,경기도 수원시 팔달구 인계동 962-8 펜트하우스 제5층 제501호,,,,,200000000.0,,1
기타,1,2580000000,2021-06-01,False,1,True,False,False,경기도 수원시 팔달구 인계동 962-8 펜트하우스 제5층 제503호,,,,,120000000.0,,1
기타,1,2580000000,2021-06-01,False,1,True,False,False,경기도 수원시 팔달구 인계동 962-8 펜트하우스 제5층 제505호,,,,,130000000.0,,1
다세대주택,1,2160000000,2021-12-21,False,3,True,False,False,경기도 수원시 팔달구 고등동 16-18 광명주택 제2층 제201호,,,,,,,1
다세대주택,1,2160000000,2021-12-21,False,3,True,False,False,경기도 수원시 팔달구 고등동 16-18 광명주택 제2층 제202호,,,,,100000000.0,,1
다세대주택,1,2160000000,2021-12-21,False,3,True,False,False,경기도 수원시 팔달구 고등동 16-18 광명주택 제2층 제203호,,,,,230000000.0,,1
다세대주택,1,2160000000,2021-12-21,False,3,True,False,False,경기도 수원시 팔달구 고등동 16-18 광명주택 제3층 제302호,,,,,,,1
다세대주택,1,2160000000,2021-12-21,False,7,True,False,False,경기도 수원시 팔달구 고등동 16-18 광명주택 제4층 제401호,,,,,260000000.0,,1
다세대주택,1,2160000000,2021-12-21,False,5,True,False,False,경기도 수원시 팔달구 고등동 16-18 광명주택 제4층 제403호,,,,,,,1
다세대주택,1,2160000000,2021-12-21,False,3,True,False,False,경기도 수원시 팔달구 고등동 16-18 광명주택 제5층 제501호,,,,,,,1
다세대주택,1,2160000000,2021-12-21,False,3,True,False,False,경기도 수원시 팔달구 고등동 16-18 광명주택 제5층 제503호,,,,,,,1
아파트,1,375100000,2022-06-09,False,5,True,False,False,경기도 수원시 영통구 원천동 605외 4필지 더샵광교레이크시티 제104동 제26층 제2604호,,,,363200000.0,,,1
다세대주택,1,1440000000,2023-04-25,False,1,True,False,False,경기도 수원시 팔달구 우만동 558-1 더스테이 제3층 제301호,,,,,150000000.0,,1
다세대주택,1,1440000000,2023-04-25,False,1,True,False,False,경기도 수원시 팔달구 우만동 558-1 더스테이 제3층 제302호,,,,,160000000.0,,1
다세대주택,1,1440000000,2023-04-25,False,1,True,False,False,경기도 수원시 팔달구 우만동 558-1 더스테이 제3층 제303호,,,,,,,1
다세대주택,1,1440000000,2023-04-25,False,1,True,False,False,경기도 수원시 팔달구 우만동 558-1 더스테이 제3층 제304호,,,,,,,1
다세대주택,1,1440000000,2023-04-25,False,1,True,False,False,경기도 수원시 팔달구 우만동 558-1 더스테이 제4층 제401호,,,,,,,1
다세대주택,1,1440000000,2023-04-25,False,1,True,False,False,경기도 수원시 팔달구 우만동 558-1 더스테이 제4층 제402호,,,,,150000000.0,,1
다세대주택,1,1440000000,2023-04-25,False,1,True,False,False,경기도 수원시 팔달구 우만동 558-1 더스테이 제4층 제403호,,,,,,,1
다세대주택,1,1440000000,2023-04-25,False,1,True,False,False,경기도 수원시 팔달구 우만동 558-1 더스테이 제4층 제404호,,,,,,,1
아파트,2,1704000000,2023-06-08,False,9,True,False,False,경기도 수원시 영통구 매탄동 198-88 198빌 제2층 제201호,,,,,,,1
아파트,1,960000000,2023-06-08,False,9,True,False,False,경기도 수원시 영통구 매탄동 198-88 198빌 제3층 제302호,,,,,,,1
